ID,Transcription,Tag,Link,Views
1,sou fogueira nesses not forever projeção esfoliação e do diabo apresentado me foi Gueto filme obrigado senhor LED Samsung,TEPT,https://www.instagram.com/reel/DBiiHh7Ovt8/?igsh=MWdrNHRsdDA1eW1u,77441
10,és capaz de funcionar é só não que agradecer que tu diagnostico compreendesse mais fácil dessa obrigatório para ti mas eu sou solo Assim como para a luz mas algo que não saber e paciência corretamente,TEPT,https://www.instagram.com/reel/DKkaPTqOech/?igsh=MXUxejFhdmloOW16Mw==,105168
15,sintomas que indicadores nós podemos estar vivendo temos vivido um trauma complemento da consciência e não recordo Episódio da minha vida outro ambiente regula afina emocionante ou desconectar o IPVA antigo não consigo regular mas triste constantemente ou ou tem um ataque dele não sei porque o relacionamento é 9 horas através,TEPT,https://www.instagram.com/reel/Ct1LNoDtdWQ/?igsh=M2Fsc3pxbzhoaWoy,114527
21,espontânea com SUS planner número 3 se mantiene histórias mesmas e por consequências lentes número 4 quando tem muitas coisas que não sabem portanto nem pensar seu poema para alisar e tirar senso cama todo dia parece que nós tá nascendo nada por orar seu sono velho não te preocupes Chegamos em Deus para que aprenda estamentos superpoderes,TEPT,https://www.instagram.com/reel/DFYTyPNSj-j/?igsh=bDFjNXM5OXR3MDU4,904570
24,das novinhas Top Love the city of the das love,TEPT,https://www.instagram.com/reel/DGu2h9ZO4Ri/?igsh=aHd2ejIxNnN1eGQ5,50387
25,minha mamãe querida,TEPT,https://www.instagram.com/reel/DAbhqlPy8v5/?igsh=MWM1c2FqOTZodXo2dw==,12380365
27,o estresse é muito subestimado porque as pessoas são tão estressado tão estressada ai vivo estressado você tá sempre estressada estar sempre estressada é um grande problema porque é neurociência já falou para nós que um dos maiores causadores aí da Morte né de matar os nossos neurônios É o estresse estresse prolongado pessoas que estão extremamente sempre expostas ao estresse sempre expostas a um nível de ansiedade grande de insegurança Grande São pessoas que podem ir perdendo neurônios e aí se eu vou perdendo a minha o meu cérebro na sua maior capacidade de funcionamento né na sua maior performance eu posso desenvolver ou eu posso ter aí de forma precoce uma demência ou várias outras doenças aí por conta de não ter cuidado do meu emocional por isso a gente fala de terapia terapia a gente vai para cuidar eu não tô sabendo de gerenciar o meu tempo eu tô vivendo extremamente estressado eu não tô sabendo fazer um gerenciamento interessante de energia então eu preciso olhar para o que está acontecendo Eu não tô sabendo falar não eu tô engolindo mais do que tudo isso pode ocasionar um estresse e ocasionando o estresse que vai afetar o meu,TEPT,https://www.instagram.com/reel/CspV8d9uAuc/?igsh=dGcxMTVhMGk2enI4,316174
29,Conheça o protocolo PB Baker da escrita expressiva que foi estudado em mais de 400 pesquisas científicas as palavras que você mesmo escreve podem ser curativos para o seu estresse isso me ajudou à beça aqui hoje de manhã como é que funciona escreve por 15 a 30 minutos por 4 dias consecutivos sobre o que aconteceu que tá te afligindo e sobre o que que você tá sentindo em relação a isso olha escreve sem parar a caneta no papel vai no fluxo sem corrigir para ficar bonito essas coisas escreve que você se sente Ok em escrever nada muito doloroso aí lembra que é você com você mesmo pode até jogar fora depois sabe que as palavras quando elas vão para o papel elas ficam menos agarradas na gente e é bem possível que muita coisa clareia na sua mente conversa sempre com um profissional de saúde para ver se isso vai funcionar bem para você eu acho que vai ah dica minha aqui escreve com a mesma camaradagem e carinho que você tem por uma pessoa que você gosta facilita bastante as coisas me segue aqui que a gente vai longe,TEPT,https://www.instagram.com/reel/C4QoqakueFg/?igsh=MTExY3E3NmhhZDhrMQ==,193300
30,ordem internacional pois a mamãe continuar programação de hoje,TEPT,https://www.instagram.com/reel/C_XY3Umg9Of/?igsh=eW5zc3J6cnh6NHcz,78192
37,quando nós passamos por algo extremamente difícil em nossas vidas é natural sofrermos com o estresse pós-traumático mas passado um momento de luto nós podemos trabalhar para ter um crescimento pós-traumático quais lições aquele evento te ensinou como você pode reagir agora que você já passou por algo assim que você poderia ensinar para alguém que está passando por algo parecido se você decidir aquilo que foi veneno para você pode ser antídoto para outras pessoas isso é anti fragilidade como você se beneficia das adversidades,TEPT,https://www.instagram.com/reel/DE8Ry34yL-N/?igsh=ZnJneDdzcXFrZGg5,69468
38,tu não quer dar aguenta porque aí mude as personas que quando a notícia de um familiar morto o enfermo porém Garcia no infartando miocárdio ele estressa estático para matar-nos pois no roupeiro quando o Nuno é capaz de modular suas três inclusive ele nos momentos desde a intensidade Como reconhecer um acidente de um familiar o impulsivo na Montana muitos casos de infarto depois de um familiar Senhor porque porque essa pessoa sabia nem comentou mais está então publicamente inflamado por entender a coronaria Paparazzi 50% e quando aumenta no nível de categoria especial nesse espaço e ela sempre estava no leito passado grande coração e nesses minutos,TEPT,https://www.instagram.com/reel/C7mj0xSJozk/?igsh=MWhiaWt5dnpjanExcQ==,455458
42,Imagina você capotar de carro e ficar preso por horas com dor e medo até de salvar Agora imagina que você sempre sempre que você pensa naquele dia ouvir um carro parecido você entra num estado em que você consegue reviver tudo que aconteceu naquele momento pesado né não Só Lembrança tá ligado mas você consegue sentir a mesma dor mesmo desespero daquele momento o mesmo medo também tá ligado como se estivesse lá de novo esse é o transtorno do estresse pós-traumático o bagulho louco pesado o tipo de transtorno de ansiedade muito comum em 20% das pessoas que passam passaram vão passar por experiências traumáticas meus crias o t p t é um transtorno que tem como base os sintomas físicos e psicológicos que são revividos sempre que a pessoa sofre dessa condição cara sabe que ela pensa naquele acontecimento tá ligado dentre os sintomas de reviver a situação surge em várias paradas tremores enjoo e dificuldade de dormir descontrole emocional a pessoa se perde entendeu e até mesmo uma recusa de confiar ou acreditar em outras pessoas tá ligado esse transtorno meu irmão ele pode se desenvolver por vários motivos como assalto uma agressão um abuso sexual tortura acidente guerra Cartaxo foi pior estando ou não nessa situação às vezes tá ligado só o fato de você ter visto algo pode te levar e desenvolver essa merda é um transtorno parceiro que muitas vezes tá ligado demora um tempo para se desenvolver após aconteceu o acidente ali em média as pessoas esperam ali dois anos para procurar ajuda a parada começa a rolar é por isso que a gente tá falando isso aqui tá ligado a vida é foda a realidade a massa amassa os cria parceira a gente quer ser feliz e se você sente tudo isso que eu falei procura ajuda psicológica imediatamente meu parceiro porque sentir essa experiência física e psicológica Toda vez que você pensa toda vez que alguma coisa te transforma ali Dói pra caralho meu parceiro Dói pra caralho eu não consigo nem imaginar meus crias o tratamento geralmente é feito com ajuda psicológica psiquiátrica que também vai utilizar alguns medicamentos entendeu você ajuda meu irmão você,TEPT,https://www.instagram.com/reel/Csza0JTrS1Q/?igsh=MXNpcG1sOWZsN3lvOQ==,71933
45,ele é único que me cura letras gordas esse sistema eles três fouet e o Paraná da energia para pôr em percorrer para quando olhar a água aí vira um leão torcida também tem carro que assim unhas e ele aproveita eles três e ela prometeu elas três tem mais correndo correndo correndo correndo Parabéns carboidratos do Corona visita aumentado mas isto como é mesmo porém essas coisas porque eles três ele tá aí tio Paraná até alergia Paraná,TEPT,https://www.instagram.com/reel/C6q_ERtAwHS/?igsh=ZGsyNzg0aHBhamlt,507410
